Song,Artist,First_Week
Sugar Baby,Megan Thee Stallion,2021-07-02
น่าจะใช่,CHOGUN,2021-07-09
U R,Loona,2021-07-09
Be My Baby (feat. Cashmere Cat),Ariana Grande,2021-07-09
This Is What You Came For (feat. Rihanna),Calvin Harris,2021-07-09
Centuries,Fall Out Boy,2021-07-09
Gee,Girls' Generation,2021-07-09
Talk Dirty (feat. 2 Chainz),Jason Derülo,2021-07-09
Cinnamon Girl,Lana Del Rey,2021-07-09
Boyfriend,Justin Bieber,2021-07-09
Thunder,Imagine Dragons,2021-07-09
The Edge of Glory,Lady Gaga,2021-07-09
Poker Face,Lady Gaga,2021-07-09
All About That Bass,Meghan Trainor,2021-07-09
The Middle,Zedd,2021-07-09
Replay,Iyaz,2021-07-09
Just the Way You Are,Bruno Mars,2021-07-09
I Really Like You,Carly Rae Jepsen,2021-07-09
Heartbeat Song,Kelly Clarkson,2021-07-09
Rude Boy,Rihanna,2021-07-09
Wings,Little Mix,2021-07-09
Count on Me,Bruno Mars,2021-07-09
Mirrors,Justin Timberlake,2021-07-09
Stay the Night - featuring Hayley Williams of Paramore,Zedd,2021-07-09
Two Is Better Than One (feat. Taylor Swift),Boys Like Girls,2021-07-09
Shut Up and Dance,Walk the Moon,2021-07-09
Hands to Myself,Selena Gomez,2021-07-16
Sit Still Look Pretty,Daya,2021-07-16
The Best Damn Thing,Avril Lavigne,2021-07-16
Runaway,Avril Lavigne,2021-07-16
Girlfriend - Radio Edit,Avril Lavigne,2021-07-16
Slipped Away,Avril Lavigne,2021-07-16
Forgotten,Avril Lavigne,2021-07-16
Nobody's Home,Avril Lavigne,2021-07-16
My Happy Ending,Avril Lavigne,2021-07-16
He Wasn't,Avril Lavigne,2021-07-16
Don't Tell Me,Avril Lavigne,2021-07-16
Together,Avril Lavigne,2021-07-16
Take Me Away,Avril Lavigne,2021-07-16
I'm with You,Avril Lavigne,2021-07-16
Losing Grip,Avril Lavigne,2021-07-16
Sober,Demi Lovato,2021-07-16
Arms Unfolding,dodie,2021-07-16
secret for the mad,dodie,2021-07-16
Instrumental,dodie,2021-07-16
6/10,dodie,2021-07-16
7/11,Beyoncé,2021-07-16
XO,Beyoncé,2021-07-16
Mine (feat. Drake),Beyoncé,2021-07-16
Rocket,Beyoncé,2021-07-16
Jealous,Beyoncé,2021-07-16
Run Away with Me,Carly Rae Jepsen,2021-07-23
Hips Don't Lie (feat. Wyclef Jean),Shakira,2021-07-23
소방차 Fire Truck,NCT 127,2021-07-23
bloodline,Ariana Grande,2021-07-23
NASA,Ariana Grande,2021-07-23
needy,Ariana Grande,2021-07-23
imagine,Ariana Grande,2021-07-23
Wild Side (feat. Cardi B),Normani,2021-07-23
Stoned at the Nail Salon,Lorde,2021-07-23
the lakes (original version),Taylor Swift,2021-07-23
Trouble - Stripped,Halsey,2021-07-23
I Walk the Line,Halsey,2021-07-23
Young God,Halsey,2021-07-23
Control,Halsey,2021-07-23
Gasoline,Halsey,2021-07-23
Haunting,Halsey,2021-07-23
Coming Down,Halsey,2021-07-23
Strange Love,Halsey,2021-07-23
Colors Pt. II,Halsey,2021-07-23
Colors,Halsey,2021-07-23
Ghost,Halsey,2021-07-23
Roman Holiday,Halsey,2021-07-23
Hurricane,Halsey,2021-07-23
Drive,Halsey,2021-07-23
New Americana,Halsey,2021-07-23
HO!,TWICE,2021-07-30
SWEET TALKER,TWICE,2021-07-30
What Is Love,TWICE,2021-07-30
I CAN'T STOP ME - English Version,TWICE,2021-07-30
Scorpion,TWICE,2021-07-30
BETTER,TWICE,2021-07-30
I'LL SHOW YOU,K/DA,2021-07-30
BEHIND THE MASK,TWICE,2021-07-30
SAY SOMETHING,TWICE,2021-07-30
DEPEND ON YOU,TWICE,2021-07-30
HANDLE IT,TWICE,2021-07-30
SHOT CLOCK,TWICE,2021-07-30
GO HARD,TWICE,2021-07-30
QUEEN,TWICE,2021-07-30
BELIEVER,TWICE,2021-07-30
BRING IT BACK,TWICE,2021-07-30
DO WHAT WE LIKE,TWICE,2021-07-30
UP NO MORE,TWICE,2021-07-30
HELL IN HEAVEN,TWICE,2021-07-30
I CAN'T STOP ME,TWICE,2021-07-30
MORE & MORE - English Version,TWICE,2021-07-30
MORE & MORE - Japanese ver.,TWICE,2021-07-30
SWING,TWICE,2021-07-30
How u doin',TWICE,2021-07-30
GET LOUD,TWICE,2021-07-30
Crazy Sexy Cool,Astro,2021-08-06
예뻤어 You Were Beautiful,DAY6,2021-08-06
Be Natural,Red Velvet,2021-08-06
Red Flavor,Red Velvet,2021-08-06
Don’t You (Taylor’s Version) (From The Vault) (Lyric Video),Taylor Swift,2021-08-06
That’s When (from The Vault),Keith Urban & Taylor Swift,2021-08-06
You All Over Me (From The Vault) (Official Lyric Video) (feat. Maren Morris),Taylor Swift,2021-08-06
sweetener,Ariana Grande,2021-08-06
R.E.M,Ariana Grande,2021-08-06
raindrops (an angel cried),Ariana Grande,2021-08-06
Male Fantasy,Billie Eilish,2021-08-06
Happier Than Ever,Billie Eilish,2021-08-06
Therefore I Am,Billie Eilish,2021-08-06
NDA,Billie Eilish,2021-08-06
Your Power,Billie Eilish,2021-08-06
Everybody Dies,Billie Eilish,2021-08-06
OverHeated,Billie Eilish,2021-08-06
Not My Responsibility,Billie Eilish,2021-08-06
Halley's Comet,Billie Eilish,2021-08-06
Lost Cause,Billie Eilish,2021-08-06
GOLDWING,Billie Eilish,2021-08-06
Oxytocin,Billie Eilish,2021-08-06
my future,Billie Eilish,2021-08-06
Billie Bossa Nova,Billie Eilish,2021-08-06
I Didn't Change My Number,Billie Eilish,2021-08-06
Who Says,Selena Gomez & the Scene,2021-08-13
Shout Out to My Ex,Little Mix,2021-08-13
Breathe (Taylor’s version),Colbie Caillat & Taylor Swift,2021-08-13
Love Story (Taylor's Version),Taylor Swift,2021-08-13
Secret Love Song (feat. Jason Derulo),Little Mix,2021-08-13
Really Don't Care,Demi Lovato,2021-08-13
American Oxygen,Rihanna,2021-08-13
Miss Movin' On,Fifth Harmony,2021-08-13
What's My Name?,Rihanna,2021-08-13
Change Your Life,Little Mix,2021-08-13
Price Tag,Jessie J,2021-08-13
Hot,Avril Lavigne,2021-08-13
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),Chris Brown,2021-08-13
Empire State of Mind,JAY-Z,2021-08-13
Die Young,Kesha,2021-08-13
We R Who We R,Kesha,2021-08-13
Lips Are Movin,Meghan Trainor,2021-08-13
Let Me Go (feat. Chad Kroeger),Avril Lavigne,2021-08-13
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,2021-08-13
On My Mind,Ellie Goulding,2021-08-13
Levels - Original Version,Avicii,2021-08-13
We Found Love,Rihanna,2021-08-13
Bad Romance,Lady Gaga,2021-08-13
Little Me,Little Mix,2021-08-13
Let Her Go,Passenger,2021-08-13
Unti-Unti,Up Dharma Down,2021-08-20
FEVER,Mook,2021-08-20
SPARK,A.C.E,2021-08-20
Mood Ring,Lorde,2021-08-20
Queendom,Red Velvet,2021-08-20
Solar Power,Lorde,2021-08-20
Good Love Your Love,Deep Squad,2021-08-20
産声,Omoinotake,2021-08-20
ghostin,Ariana Grande,2021-08-20
I Wish You Would,Taylor Swift,2021-08-20
Shake It Off,Taylor Swift,2021-08-20
Sledgehammer,Fifth Harmony,2021-08-20
BO$$,Fifth Harmony,2021-08-20
Hot n Cold,Katy Perry,2021-08-20
Ur So Gay,Katy Perry,2021-08-20
One of the Boys,Katy Perry,2021-08-20
Right Here,THE BOYZ,2021-08-20
Giddy Up,THE BOYZ,2021-08-20
9 and Three Quarters - Run Away,TOMORROW X TOGETHER,2021-08-20
Nap of a star,TOMORROW X TOGETHER,2021-08-20
CROWN,TOMORROW X TOGETHER,2021-08-20
THRILL RIDE,THE BOYZ,2021-08-20
Renegade - Pop Version,Big Red Machine,2021-08-20
Zoo,Red Velvet,2021-08-20
You Better Know,Red Velvet,2021-08-20
Long Live,Florida Georgia Line,2021-08-27
West Coast,Lana Del Rey,2021-08-27
Dreams Come True,WJSN,2021-08-27
Ultraviolence,Lana Del Rey,2021-08-27
YKWIM?,Yot Club,2021-08-27
Space Song,Beach House,2021-08-27
Sexting,Bo Burnham,2021-08-27
What A Wonderful World - Single Version,Louis Armstrong,2021-08-27
That Funny Feeling,Bo Burnham,2021-08-27
Goodbye,Bo Burnham,2021-08-27
If This Was a Movie,Taylor Swift,2021-08-27
Deja Vu (Initial D),Tsuko G.,2021-08-27
Tag Me (@Me),Weeekly,2021-08-27
Umbrella,Rihanna,2021-08-27
Axolotl,C418,2021-08-27
Ancient Dreams in a Modern Land,Marina,2021-08-27
Only You,Cheat Codes,2021-08-27
The Cure (Stripped),Little Mix,2021-08-27
Woman's World,Little Mix,2021-08-27
Forget You Not,Little Mix,2021-08-27
The Cure,Little Mix,2021-08-27
Notice,Little Mix,2021-08-27
Motivate,Little Mix,2021-08-27
More Than Words (feat. Kamille),Little Mix,2021-08-27
Wasabi,Little Mix,2021-08-27
Camouflage,Selena Gomez,2021-09-03
Good for You,Selena Gomez,2021-09-03
Kill Em with Kindness,Selena Gomez,2021-09-03
Revival,Selena Gomez,2021-09-03
D-D-DANCE,IZ*ONE,2021-09-03
Last Dance,(G)I-DLE,2021-09-03
HANN (Alone),(G)I-DLE,2021-09-03
NU ABO,f(x),2021-09-03
The Carol 2.0 (Vivi Choerry Yves),Loona,2021-09-03
Heroine,SUNMI,2021-09-03
What,Dreamcatcher,2021-09-03
When This Rain Stops,Wendy,2021-09-03
Listen To My Word,OH MY GIRL,2021-09-03
Baby,Astro,2021-09-03
舞い落ちる花びら(Fallin' Flower),Seventeen,2021-09-03
NAVILLERA,GFRIEND,2021-09-03
No Air,THE BOYZ,2021-09-03
FUN!,fromis_9,2021-09-03
La Vie en Rose,IZ*ONE,2021-09-03
Ice Cream Cake,Red Velvet,2021-09-03
BDZ,TWICE,2021-09-03
Kiss My (Uh Oh),Anne-Marie,2021-09-03
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,2021-09-03
No Time For Tears,Nathan Dawe,2021-09-03
My Love Won't Let You Down,Little Mix,2021-09-03
STAY,BLACKPINK,2021-09-10
The Last Time,Taylor Swift,2021-09-10
I am not a woman I'm a god,Halsey,2021-09-10
You asked for this,Halsey,2021-09-10
Me & My Girls,Selena Gomez,2021-09-10
ONE IN A MILLION,TWICE,2021-09-10
A Different Night,Loona,2021-09-10
Fairy Tale,LOOΠΔ 1/3,2021-09-10
Strawberries & Cigarettes,Troye Sivan,2021-09-10
Girl on Fire,Alicia Keys,2021-09-10
Human,Christina Perri,2021-09-10
Love Me Like You Do - From Fifty Shades of Grey,Ellie Goulding,2021-09-10
Last Friday Night (T.G.I.F.),Katy Perry,2021-09-10
Photograph,Ed Sheeran,2021-09-10
Beauty and the Beast,Ariana Grande,2021-09-10
Daylight,Maroon 5,2021-09-10
Just Give Me a Reason (feat. Nate Ruess),P!nk,2021-09-10
In the End,Linkin Park,2021-09-10
LALISA,Lisa,2021-09-10
Bootylicious,Destiny's Child,2021-09-10
Hard Times,Paramore,2021-09-10
Send My Love (to Your New Lover),Adele,2021-09-10
Literal Legend,Ayesha Erotica,2021-09-10
Cornelia Street - Live from Paris,Taylor Swift,2021-09-10
Still Falling For You - From Bridget Jones's Baby,Ellie Goulding,2021-09-10
Wildest Dreams (Taylor's Version),Taylor Swift,2021-09-17
bury a friend,Billie Eilish,2021-09-17
INFERNO,Sub Urban,2021-09-17
A Thousand Years,Christina Perri,2021-09-17
Getting Older,Billie Eilish,2021-09-17
Rumors (feat. Cardi B),Lizzo,2021-09-17
Bohemian Rhapsody,Queen,2021-09-17
Sour Times,Madison Beer,2021-09-17
Selfish,Madison Beer,2021-09-17
Homesick,Madison Beer,2021-09-17
Interlude,Madison Beer,2021-09-17
Blue,Madison Beer,2021-09-17
Stay Numb and Carry On,Madison Beer,2021-09-17
Effortlessly,Madison Beer,2021-09-17
Default,Madison Beer,2021-09-17
Good in Goodbye,Madison Beer,2021-09-17
The Beginning,Madison Beer,2021-09-17
Treasure,Bruno Mars,2021-09-17
She Looks So Perfect,5 Seconds of Summer,2021-09-17
Kiss You,One Direction,2021-09-17
Beautiful Girls,Sean Kingston,2021-09-17
Pompeii,Bastille,2021-09-17
Cheerleader - Felix Jaehn Remix Radio Edit,Omi,2021-09-17
Trumpets,Jason Derulo,2021-09-17
Can't Remember to Forget You (feat. Rihanna),Shakira,2021-09-17
make up,Ariana Grande,2021-09-24
thank u next,Ariana Grande,2021-09-24
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,2021-09-24
just like magic,Ariana Grande,2021-09-24
Above the Clouds of Pompeii,Bear's Den,2021-09-24
Touch,Little Mix,2021-09-24
Happy Hunting Ground (feat. Griff),Maisie Peters,2021-09-24
Helicopter,Maisie Peters,2021-09-24
Funeral (feat. James Bay),Maisie Peters,2021-09-24
Stupid Love,Lady Gaga,2021-09-24
LOONATIC,LOOΠΔ / ODD EYE CIRCLE,2021-09-24
Most Girls,Hailee Steinfeld,2021-09-24
Break Your Heart Right Back,Ariana Grande,2021-09-24
the lakes - original version,Taylor Swift,2021-09-24
There! Right There!,Amber Efe,2021-09-24
Tia Tamera (feat. Rico Nasty),Doja Cat,2021-09-24
Plastic Hearts,Miley Cyrus,2021-09-24
Good Days,SZA,2021-09-24
Harleys in Hawaii,Katy Perry,2021-09-24
boyfriend (with Social House),Ariana Grande,2021-09-24
Levitating,Dua Lipa,2021-09-24
obvious,Ariana Grande,2021-09-24
love language,Ariana Grande,2021-09-24
my hair,Ariana Grande,2021-09-24
six thirty,Ariana Grande,2021-09-24
The Feels,TWICE,2021-10-01
Drops Of Jupiter - Live/2011,Taylor Swift,2021-10-01
burned out,dodie,2021-10-01
She,dodie,2021-10-01
Someone Like You,Adele,2021-10-01
Everything Has Changed,Taylor Swift,2021-10-01
Not What I Meant (feat. Lewis Watson),dodie,2021-10-01
Monster,dodie,2021-10-01
Knew Better / Forever Boy,Ariana Grande,2021-10-01
Bad Decisions,Ariana Grande,2021-10-01
I Don't Care,Ariana Grande,2021-10-01
Sometimes,Ariana Grande,2021-10-01
Everyday,Ariana Grande,2021-10-01
Leave Me Lonely,Ariana Grande,2021-10-01
Greedy,Ariana Grande,2021-10-01
Let Me Love You,Ariana Grande,2021-10-01
Side to Side,Ariana Grande,2021-10-01
State Of Grace - Acoustic,Taylor Swift,2021-10-01
Wasted Potential,Lindsay Liebro,2021-10-01
Cologne,Selena Gomez,2021-10-01
Outta My Hands (Loco),Selena Gomez,2021-10-01
Perfect,Selena Gomez,2021-10-01
Nobody,Selena Gomez,2021-10-01
Rise,Selena Gomez,2021-10-01
Body Heat,Selena Gomez,2021-10-01
Love in the Dark,Adele,2021-10-08
River Lea,Adele,2021-10-08
As Long as You Love Me,Justin Bieber,2021-10-08
Lighters,Bad Meets Evil,2021-10-08
Where Is the Love?,Black Eyed Peas,2021-10-08
Slow Down,Selena Gomez,2021-10-08
Both of Us (feat. Taylor Swift),B.o.B,2021-10-08
Back to December,Taylor Swift,2021-10-08
Bleeding Love,Leona Lewis,2021-10-08
Haunted - Acoustic Version,Taylor Swift,2021-10-08
Come Back...Be Here,Taylor Swift,2021-10-08
You In My Heart,TWICE,2021-10-08
TURTLE,TWICE,2021-10-08
when the party's over,Billie Eilish,2021-10-08
wish you were gay,Billie Eilish,2021-10-08
all the good girls go to hell,Billie Eilish,2021-10-08
you should see me in a crown,Billie Eilish,2021-10-08
xanny,Billie Eilish,2021-10-08
Sweetest Devotion,Adele,2021-10-08
Million Years Ago,Adele,2021-10-08
Emperor's New Clothes,Panic! at the Disco,2021-10-08
Ours,Taylor Swift,2021-10-08
Payphone,Maroon 5,2021-10-08
Wolves,Selena Gomez,2021-10-08
Marvin Gaye (feat. Meghan Trainor),Charlie Puth,2021-10-08
Easy on Me,Adele,2021-10-15
Hung Up,Madonna,2021-10-15
Love Again,Dua Lipa,2021-10-15
Popular Song,Mika,2021-10-15
Move,Little Mix,2021-10-15
Rolling in the Deep,Adele,2021-10-15
End Game,Taylor Swift,2021-10-15
PONPONPON,Kyary Pamyu Pamyu,2021-10-15
Holiday,Little Mix,2021-10-15
Set Fire to the Rain,Adele,2021-10-15
Whistle,Flo Rida,2021-10-15
Water Under the Bridge,Adele,2021-10-15
Chasing Pavements,Adele,2021-10-15
Latch (feat. Sam Smith),Disclosure,2021-10-15
Hair,Little Mix,2021-10-15
Some Nights,fun.,2021-10-15
Va Va Voom,Nicki Minaj,2021-10-15
Born This Way,Lady Gaga,2021-10-15
Abracadabra,Brown Eyed Girls,2021-10-15
Walang Natira (Feat. Sheng Belmonte),Gloc-9,2021-10-15
Lando (feat. Francis M.),Gloc-9,2021-10-15
Magda,Gloc-9,2021-10-15
Shantidope,Shanti Dope,2021-10-15
Bagsakan,Parokya Ni Edgar,2021-10-15
Love Story Ko,Gloc-9,2021-10-15
Ancestry,Lena Raine,2021-10-22
Story of My Life,One Direction,2021-10-22
Halo,Beyoncé,2021-10-22
An Ordinary Day,Kumi Tanioka,2021-10-22
otherside,Lena Raine,2021-10-22
Infinite Amethyst,Lena Raine,2021-10-22
Wending,Lena Raine,2021-10-22
Left to Bloom,Lena Raine,2021-10-22
Stand Tall,Lena Raine,2021-10-22
Don't Threaten Me with a Good Time,Panic! at the Disco,2021-10-22
Smile,Avril Lavigne,2021-10-22
Call Me Maybe,Carly Rae Jepsen,2021-10-22
Whenever Wherever,Shakira,2021-10-22
When I Grow Up,The Pussycat Dolls,2021-10-22
Radioactive,Imagine Dragons,2021-10-22
Diamonds,Rihanna,2021-10-22
Don't Stop the Music,Rihanna,2021-10-22
Beauty and a Beat,Justin Bieber,2021-10-22
Sugar,Maroon 5,2021-10-22
When We Were Young,Adele,2021-10-22
Love Me Like You,Little Mix,2021-10-22
Wish You Were Here,Avril Lavigne,2021-10-22
Fancy,Iggy Azalea,2021-10-22
FourFiveSeconds,Rihanna,2021-10-22
One Thing,One Direction,2021-10-22
California Gurls,Katy Perry,2021-10-29
If We Ever Meet Again,Timbaland,2021-10-29
One Sweet Day,Mariah Carey,2021-10-29
Like a Virgin,Madonna,2021-10-29
Not Like the Movies,Katy Perry,2021-10-29
Hummingbird Heartbeat,Katy Perry,2021-10-29
Pearl,Katy Perry,2021-10-29
Who Am I Living For?,Katy Perry,2021-10-29
E.T.,Katy Perry,2021-10-29
Circle the Drain,Katy Perry,2021-10-29
Peacock,Katy Perry,2021-10-29
Firework,Katy Perry,2021-10-29
Teenage Dream,Katy Perry,2021-10-29
Wonderland,Taylor Swift,2021-10-29
I Know Places,Taylor Swift,2021-10-29
Special Girl,dodie,2021-10-29
Cool Girl,dodie,2021-10-29
I Kissed Someone (It Wasn't You),dodie,2021-10-29
Hate Myself,dodie,2021-10-29
air so sweet,dodie,2021-10-29
Diva,Beyoncé,2021-10-29
Lookalike,Conan Gray,2021-10-29
Rewrite The Stars,Zac Efron,2021-10-29
On The Floor - Radio Edit,Jennifer Lopez,2021-10-29
She's Kinda Hot,5 Seconds of Summer,2021-10-29
Tim McGraw,Taylor Swift,2021-11-05
Walking on Air,Katy Perry,2021-11-05
Should've Said No,Taylor Swift,2021-11-05
Stay Beautiful,Taylor Swift,2021-11-05
State of Grace (Taylor's Version),Taylor Swift,2021-11-12
All Too Well (Taylor's Version),Taylor Swift,2021-11-12
Treacherous (Taylor's Version),Taylor Swift,2021-11-12
Red (Taylor's Version),Taylor Swift,2021-11-12
Babe (Taylor's Version) (From the Vault),Taylor Swift,2021-11-12
Better Man (Taylor's Version) (From the Vault),Taylor Swift,2021-11-12
Ronan (Taylor's Version),Taylor Swift,2021-11-12
All Too Well (10 Minute Version) (Taylor's Version) (From the Vault),Taylor Swift,2021-11-12
The Very First Night (Taylor's Version) (From the Vault),Taylor Swift,2021-11-12
Forever Winter (Taylor's Version) (From the Vault),Taylor Swift,2021-11-12
Message in a Bottle (Taylor's Version) (From the Vault),Taylor Swift,2021-11-12
Girl at Home (Taylor's Version),Taylor Swift,2021-11-12
Come Back...Be Here (Taylor's Version),Taylor Swift,2021-11-12
The Moment I Knew (Taylor's Version),Taylor Swift,2021-11-12
Begin Again (Taylor's Version),Taylor Swift,2021-11-12
I Knew You Were Trouble (Taylor's Version),Taylor Swift,2021-11-12
That’s When (Taylor’s Version) (From The Vault),Taylor Swift Keith Urban,2021-11-12
You All Over Me (Taylor’s Version) (From The Vault),Taylor Swift Maren Morris,2021-11-12
Run (Taylor's Version) (From The Vault) [feat. Ed Sheeran],Taylor Swift,2021-11-12
I Bet You Think About Me (Taylor's Version) (From The Vault) [feat. Chris Stapleton],Taylor Swift,2021-11-12
Nothing New (Taylor's Version) (From The Vault) [feat. Phoebe Bridgers],Taylor Swift,2021-11-12
State of Grace (Acoustic Version),Taylor Swift,2021-11-12
Run (feat. Ed Sheeran) (Taylor’s Version) (From the Vault),Taylor Swift,2021-11-12
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From the Vault),Taylor Swift,2021-11-12
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From the Vault),Taylor Swift,2021-11-12
22 (Taylor's Version),Taylor Swift,2021-11-19
State of Grace (Acoustic Version) (Taylor's Version),Taylor Swift,2021-11-19
Starlight (Taylor's Version),Taylor Swift,2021-11-19
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Taylor Swift,2021-11-19
The Lucky One (Taylor's Version),Taylor Swift,2021-11-19
Sad Beautiful Tragic (Taylor's Version),Taylor Swift,2021-11-19
Holy Ground (Taylor's Version),Taylor Swift,2021-11-19
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Taylor Swift,2021-11-19
Stay Stay Stay (Taylor's Version),Taylor Swift,2021-11-19
We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,2021-11-19
I Almost Do (Taylor's Version),Taylor Swift,2021-11-19
Lady Marmalade - From Moulin Rouge Soundtrack,Christina Aguilera,2021-11-26
My Little Love,Adele,2021-11-26
Girlfriend,Avril Lavigne,2021-11-26
Love Is a Game,Adele,2021-11-26
To Be Loved,Adele,2021-11-26
Hold On,Adele,2021-11-26
Woman Like Me,Adele,2021-11-26
All Night Parking (with Erroll Garner) Interlude,Adele,2021-11-26
I Drink Wine,Adele,2021-11-26
Can I Get It,Adele,2021-11-26
Oh My God,Adele,2021-11-26
Cry Your Heart Out,Adele,2021-11-26
Strangers by Nature,Adele,2021-11-26
Teardrops on My Guitar - Pop Version,Taylor Swift,2021-11-26
A Perfectly Good Heart,Taylor Swift,2021-11-26
Invisible,Taylor Swift,2021-11-26
I'm Only Me When I'm with You,Taylor Swift,2021-11-26
Our Song,Taylor Swift,2021-11-26
Tied Together with a Smile,Taylor Swift,2021-11-26
The Outside,Taylor Swift,2021-11-26
Cold as You,Taylor Swift,2021-11-26
A Place in This World,Taylor Swift,2021-11-26
Remedy,Adele,2021-11-26
I Miss You,Adele,2021-11-26
Hello,Adele,2021-11-26
Mine - POP Mix,Taylor Swift,2021-12-03
WHISTLE,BLACKPINK,2021-12-03
행복했던 날들이었다 days gone by,DAY6,2021-12-03
키스는 다음에,Loona,2021-12-03
Candy Pop,TWICE,2021-12-03
Holiday,소녀시대,2021-12-03
GO,NCT,2021-12-03
CUPID,OH MY GIRL,2021-12-03
WITHOUT YOU (Sung by JAEHYUN DOYOUNG TAEIL),NCT U,2021-12-03
Mr-Ambiguous,MAMAMOO,2021-12-03
Bon Bon Chocolat,Everglow,2021-12-03
WE GO,fromis_9,2021-12-03
Stay with Me,Sam Smith,2021-12-03
Pills n Potions,Nicki Minaj,2021-12-03
CPR,cupcakKe,2021-12-10
SCIENTIST,TWICE,2021-12-10
SOS,TWICE,2021-12-10
Baby Blue Love,TWICE,2021-12-10
SCIENTIST - R3HAB Remix,TWICE,2021-12-10
CANDY,TWICE,2021-12-10
1 3 2 (JEONGYEON MINA TZUYU),TWICE,2021-12-10
HELLO (NAYEON MOMO CHAEYOUNG),TWICE,2021-12-10
PUSH & PULL (JIHYO SANA DAHYUN),TWICE,2021-12-10
CACTUS,TWICE,2021-12-10
REWIND,TWICE,2021-12-10
ESPRESSO,TWICE,2021-12-10
LAST WALTZ,TWICE,2021-12-10
F.I.L.A (Fall in Love Again),TWICE,2021-12-10
REAL YOU,TWICE,2021-12-10
CRUEL,TWICE,2021-12-10
ICON,TWICE,2021-12-10
MOONLIGHT,TWICE,2021-12-10
My Neck My Back (Lick It),Khia,2021-12-10
Vagina,cupcakKe,2021-12-10
Roses,Against the Current,2021-12-17
I Need Your Love (feat. Ellie Goulding),Calvin Harris,2021-12-17
5th Season (SSFWL),OH MY GIRL,2021-12-17
VERY NICE,Seventeen,2021-12-17
If I Never See Your Face Again,Maroon 5,2021-12-17
Paparazzi,Lady Gaga,2021-12-17
For a Pessimist I'm Pretty Optimistic,Paramore,2021-12-17
Flashlight - From Pitch Perfect 2 Soundtrack,Jessie J,2021-12-17
Cups (Pitch Perfect’s “When I’m Gone”) - Pop Version,Anna Kendrick,2021-12-17
Hit the Lights,Selena Gomez & the Scene,2021-12-17
The Heart Wants What It Wants,Selena Gomez,2021-12-17
The Only Exception,Paramore,2021-12-17
NO,Meghan Trainor,2021-12-17
Me Too,Meghan Trainor,2021-12-17
Bodak Yellow,Cardi B,2021-12-17
I Like It,Cardi B,2021-12-17
TURN IT UP,TWICE,2021-12-17
HOT,TWICE,2021-12-17
GIRLS LIKE US,TWICE,2021-12-17
STUCK IN MY HEAD,TWICE,2021-12-17
Oh Santa! (feat. Ariana Grande & Jennifer Hudson),Mariah Carey,2021-12-24
Grenade,Bruno Mars,2021-12-24
Vision of Love,Mariah Carey,2021-12-24
Without You,Mariah Carey,2021-12-24
Love Takes Time,Mariah Carey,2021-12-24
Emotions,Mariah Carey,2021-12-24
Dreamlover,Mariah Carey,2021-12-24
Always Be My Baby,Mariah Carey,2021-12-24
Honey,Mariah Carey,2021-12-24
My All,Mariah Carey,2021-12-24
Whenever You Call - Bonus Track,Brian McKnight,2021-12-24
When You Believe - from The Prince of Egypt,Whitney Houston,2021-12-24
Sweetheart (feat. Mariah Carey),Jermaine Dupri,2021-12-24
Say My Name - Live,Beyoncé,2021-12-24
If I Were a Boy,Beyoncé,2021-12-24
Survivor,Destiny's Child,2021-12-24
Dance Again,Jennifer Lopez,2021-12-24
Star ng Pasko,ABS-CBN Music All Star,2021-12-24
Give Love on Christmas Day,ABS-CBN Music All Star,2021-12-24
Ngayong Pasko,ABS-CBN Music All Star,2021-12-24
Sana Ngayong Pasko,ABS-CBN Music All Star,2021-12-24
Pasko na Sinta Ko,ABS-CBN Music All Star,2021-12-24
The Christmas Song - Chestnuts Roasting on an Open Fire,ABS-CBN Music All Star,2021-12-24
Perfect Christmas,ABS-CBN Music All Star,2021-12-24
Merry Christmas Darling,ABS-CBN Music All Star,2021-12-24
Better Than Revenge,Taylor Swift,2021-12-31
Enchanted,Taylor Swift,2021-12-31
Never Grow Up,Taylor Swift,2021-12-31
Mean,Taylor Swift,2021-12-31
Speak Now,Taylor Swift,2021-12-31
Sparks Fly,Taylor Swift,2021-12-31
Ghost of You,5 Seconds of Summer,2021-12-31
2011,5 Seconds of Summer,2021-12-31
Since U Been Gone,Kelly Clarkson,2021-12-31
I Don’t Wanna Live Forever (Fifty Shades Darker),Zayn,2021-12-31
Mercy - Acoustic,Shawn Mendes,2021-12-31
The One That Got Away - Acoustic,Katy Perry,2021-12-31
Dear Santa - English Version,Girls' Generation-TTS,2021-12-31
Rough,GFRIEND,2021-12-31
Perfect,Ed Sheeran,2021-12-31
new,Loona,2022-01-07
LIKEY,TWICE,2022-01-07
7월 7일 One of These Nights,Red Velvet,2022-01-07
Secret,WJSN,2022-01-07
MoMoMo,WJSN,2022-01-07
